"Lung_A (RefSig 13)","Lung_B (RefSig 17)","Lung_C (RefSig 1)","Lung_D (RefSig 4+22)","Lung_E (RefSig 5)","Lung_F (RefSig 18)","Lung_G (RefSig 3)","Lung_H (RefSig 33)","Lung_I (RefSig 4)","Lung_J (RefSig 2)"
0.00147331936908107,0.00175788772346583,0.00231801523341327,0.0145255877063979,0.0110644640325189,0.00225248216762336,0.00601764555744499,0.0067452671822141,0.00285369167045274,0.00321527525766397
0.00329202783905842,0.0135675279774817,0.00621635860172773,0.00756236090980017,0.0112702462753182,0.023676568143893,0.0112955142349974,0.0089445895440581,0.00237102642288438,0.00241191185041387
0.00683456484516031,0.00740641018889137,0.0225651555037077,0.00595321265907053,0.0700708767602777,0.0090799366820625,0.0171220544721287,0.0320532053378504,0.00830415294894741,0.00580478723735033
0.00182036998433936,0.00589775912176534,0.010875594742931,0.000505831840408841,0.00717045631788283,0.00762698747069968,0.00702575914163223,0.00193162325247784,0.000679194032530855,0.00139795617021366
0.00370025081929272,0.00343950319148248,0.0133283491790663,0.00287302343599686,0.0352666374080338,0.00681888956710127,0.0115756283298215,0.04037244984084,0.00580622901364708,0.00568380627251086
0.00379536110953741,0.00797682132449765,0.0300741442636141,0.0014990044304124,0.0296617729353941,0.0166214430901187,0.0124932415041472,0.0120200355661103,0.00318910851274188,0.00450407077229961
0.00343412553561773,0.0102813596048624,0.00623507145416811,0.00503595063052557,0.0269769393188664,0.00208718332796415,0.0150017712437596,0.0187461049632202,0.00299475361818724,0.00138271284503362
0.00130601672537071,0.0341706158298566,0.0083782950866391,0.00163452840442314,0.00204556689707403,0.00850316815942818,0.008985509918525,0.0107280723895148,0.00144509340634842,0.000625532193575077
0.00129665062706112,0.0242983423365877,0.00483539455262615,0.00512666533963157,0.0185221212350371,0.00195137382085688,0.0122450857495649,0.0192790741103815,0.00529642145822351,0.00251084402394066
0.00290011120862408,0.0731354208756034,0.00514543772766405,0.00289910176521329,0.0157819276444815,0.00625289310330587,0.0114373970660317,0.0082686109451004,0.00121014596742191,0.00080682845761146
0.00337275927683542,0.0043595244924879,0.0123510079702797,0.00212474821126239,0.0305599407724327,0.00521601000944869,0.00822145849299595,0.0135968643578736,0.00398990046038589,0.00437285390418636
0.00099119469134094,0.00577130108203435,0.0101272662376247,0.00148413925394687,0.00443416614076199,0.00544533373087563,0.00384593326485452,0.00160506646821317,0.000549177065993951,0.00373921577250164
0.00167724093113509,0.00457141497556508,0.00792368003487938,0.00102903214984231,0.00479252580357737,0.00303686230148308,0.00549596144872694,0.0547277870505041,0.00130274722470086,0.00387804841257774
0.00221335420988648,0.00948922943217922,0.0182760056827201,0.000452114936473073,0.017052195553911,0.00782508360129382,0.00934623478314118,0.00680691094333152,0.000979783081825627,0.00381440559028089
0.00248325681814237,0.00956772442916282,0.0142065320200201,0.00043065395696751,0.0335164857078254,0.00683844437652912,0.0122427349006714,0.0147675829110578,0.00344655624082601,0.00350632108314012
0.00138499874483332,0.0147383368864729,0.0117372623998426,0.000483608651848883,0.00637503659824028,0.0117313247268412,0.00615140185338152,0.00189137163850851,0.000842844369223009,0.000706601909323358
4.36468494197434e-09,0.00643299828646687,0.00645608105191267,1.63035961926223e-05,4.53439065160216e-07,0.000691837290453903,0.000199608933801521,0.0763180408322886,2.97118277162489e-05,0.0022230510840357
0.00227098984169137,0.0180606582227164,0.015943806212139,2.46658926148766e-07,0.0212487726147424,0.0134076336838198,0.00906475503644315,0.0071365731902344,0.000382698041488757,0.00118275399696087
