"Kidney_A (RefSig 13+3+16)","Kidney_B (RefSig 5+30)","Kidney_C (RefSig 1)","Kidney_D (RefSig MMR1)","Kidney_E (RefSig 22)","Kidney_F (RefSig N12)","Kidney_G (RefSig 4)","Kidney_H (RefSig 18+2)","Kidney_I (RefSig 17)"
0.00492562598811758,0.0064295734238938,0.00180838949537258,0.0026605807723177,0.00361162411344221,0.0157305602662331,0.0031207839640454,0.00356597309103221,0.0052675429162032
0.000180775905906762,0.00633394021390544,0.00228352822774269,0.00583153829602506,0.00118156614596552,0.0436263234564678,0.00514940301551845,0.00402705050849433,0.0258263729619341
0.00640258360875958,0.00212004302377498,0.000830792216287089,0.00100375536779502,0.00451650193542906,0.00721413833188328,5.72793281602367e-06,0.000313739988780025,0.00325429265366142
0.00234383929458007,0.00303983363579306,0.00234304292843736,0.00218469660047527,0.00102794525937081,0.0123186477425833,0.000514262145180136,1.19522996216791e-21,0.0125670764965178
0.00681883243614565,0.00638791624064764,0.00147146918710374,0.00174420815274245,0.00481973925745498,0.00857563771316702,0.000111709221673658,0.00296985644269364,0.00817917718349888
3.41032984162193e-07,1.04093600803854e-05,0.0012339392495207,0.00254311742406948,0.000690566155795677,6.35353096081034e-06,0.000727816775864161,0.00541645898906151,0.128905402493921
0.00541927974389507,0.000971163778132953,1.13718030305817e-21,0.000882734128486439,0.00209500957736509,0.00309174548214025,0.000979295327637923,0.00233910527425863,0.00192728981129842
0.00219422780561893,0.000748286820148724,0.000386670643957785,0.000391499971919199,0.000400234773398751,0.00372634825319392,0.00101206127695638,1.10774253092085e-07,0.00377098770681415
0.0100784537936097,0.00274824724508421,0.00290680025582526,1.00226438422023e-21,0.000924894662737263,0.00599908961944363,0.00207704028224057,0.00135866547780692,0.00439900451031339
0.00146866639227152,1.4654774503704e-13,0.00140434836584368,0.00257133029860744,0.000443436541905444,0.00325367389208343,0.000322110185523285,0.00360853637208301,0.0371140111234022
0.00861072454073325,0.00215556522407636,0.00301202315782651,0.00193792517167347,0.00509405941038067,0.0185584354615049,0.00304618968000402,0.000773823348348621,0.0045812584206138
0.00125346895093022,0.00329486786614981,0.000855420040866849,0.00269530191333066,0.000768480267241151,0.029724848684801,0.00344785219618162,2.55784600125253e-18,0.00671455046776113
0.0064395148269476,0.00477790976543323,0.00345621672791041,0.00204865405234316,0.00433909313490124,0.0181524990411057,0.0037655297404647,0.00335995706518607,0.0068911440195945
0.00221705978947649,0.00534733728546909,0.00715799931244421,0.00423598760660194,0.00196546931417952,0.0531649058225349,0.00609378100749573,0.0108058035905981,0.0548662285138196
